timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9
2025-05-26 14:48:08,52.26978856678987,8.075276779248673,89,99.0,23.1,29.8
2025-05-26 14:48:12,52.26959638751002,8.077064194115476,123,33.9,23.9,43.0
2025-05-26 14:48:15,52.269442430217545,8.078526676090135,100,39.4,23.6,34.3
2025-05-26 14:48:18,52.26930619886294,8.08003309878989,103,30.7,27.5,38.3
2025-05-26 14:48:22,52.269109315556456,8.082108742576638,142,32.1,22.2,32.7
2025-05-26 14:48:25,52.268945028151215,8.08372064168737,111,29.2,23.7,38.0
2025-05-26 14:48:28,52.26878158214069,8.085386900614836,114,66.9,165,39.2
2025-05-26 14:48:32,52.26854218563224,8.087612454020585,153,74.1,21.6,41.6
2025-05-26 14:48:35,52.26837141204542,8.089271160314293,114,45.3,51.7,56.8
2025-05-26 14:48:38,52.26819413367986,8.090953292637574,116,49.0,26.5,30.1
2025-05-26 14:48:41,52.26802116832403,8.092627913493658,115,62.3,30.1,44.1
2025-05-26 14:48:44,52.26784587083043,8.094294667189414,115,59.6,40.2,48.7
2025-05-26 14:48:47,52.267668565823904,8.095948468827245,114,117,50.2,50.9
2025-05-26 14:48:50,52.267498967151816,8.097656656116694,117,60.4,30.0,55.3
2025-05-26 14:48:53,52.267331968051245,8.099360538024046,117,54.1,49.8,53.7
2025-05-26 14:48:56,52.26717676860794,8.101031552222416,115,59.5,83.4,54.5
2025-05-26 14:48:59,52.26701669015835,8.102735184870188,117,507,38.7,45.7
2025-05-26 14:49:03,52.26678240202359,8.104960050707492,153,166,43.7,36.3
2025-05-26 14:49:06,52.2665887617157,8.10662280592545,115,43.1,96.4,59.1
2025-05-26 14:49:09,52.26642930052624,8.108350685127087,118,,548,78.6
2025-05-26 14:49:14,52.266271928095364,8.111234610317752,197,,,
2025-05-26 14:49:20,52.266084551222484,8.114666747688084,234,,,659
2025-05-26 14:49:26,52.26590635427706,8.11804082153878,230,71.0,37.7,40.5
2025-05-26 14:49:29,52.26582223493266,8.119750461556292,116,58.5,35.9,52.9
2025-05-26 14:49:32,52.265726513801205,8.121460817172085,116,109,30.4,53.2
2025-05-26 14:49:36,52.26560834760087,8.123712210926788,153,35.0,24.5,143
2025-05-26 14:49:40,52.26549254685573,8.125940258861318,152,86.6,35.6,35.0
2025-05-26 14:49:44,52.265374827871234,8.128233671737753,156,59.3,48.8,159
2025-05-26 14:49:48,52.26527680555747,8.130558022812387,158,93.8,34.5,45.3
2025-05-26 14:49:51,52.26517744856089,8.132281419336167,117,42.1,73.6,61.4
2025-05-26 14:49:54,52.26507403917453,8.133949769319827,114,51.1,33.1,48.3
2025-05-26 14:49:57,52.26495904548183,8.1356302445805,115,94.4,45.3,36.3
2025-05-26 14:50:00,52.26486280591903,8.13730747196239,114,68.8,50.2,87.4
2025-05-26 14:50:04,52.2647296560911,8.139572400974629,154,50.0,33.3,256
2025-05-26 14:50:08,52.26458758693768,8.14183632520814,154,208,141,165
2025-05-26 14:50:12,52.264411736179724,8.144105360206593,155,91.4,259,154
2025-05-26 14:50:16,52.264259004797644,8.14633249488285,152,49.7,51.7,61.4
2025-05-26 14:50:20,52.26414491543518,8.148609263771489,155,58.6,60.8,57.3
2025-05-26 14:50:23,52.26401280130147,8.150269431681021,113,79.6,34.3,53.2
2025-05-26 14:50:26,52.263910911831616,8.151966015607336,116,62.2,60.1,71.0
2025-05-26 14:50:30,52.26379558761813,8.154225796373334,154,200,44.1,97.6
2025-05-26 14:50:34,52.26367226345121,8.156490149121138,154,,,
2025-05-26 14:50:40,52.26343840059336,8.15991870278612,234,,,
2025-05-26 14:50:46,52.26324602350885,8.163263903486946,228,,,
2025-05-26 14:50:52,52.26308437519674,8.166554589108912,224,,,
2025-05-26 14:50:58,52.26288814748421,8.169613240555377,209,,,
2025-05-26 14:51:01,52.26282189450121,8.171089893866332,100,,,
2025-05-26 14:51:04,52.262710118729686,8.172419933874313,91,,,
2025-05-26 14:51:07,52.262620209651615,8.173657220804673,84,,,
2025-05-26 14:51:13,52.2625220281409,8.17586712988653,150,,,
2025-05-26 14:51:19,52.262446510172914,8.177799557343869,131,,,
2025-05-26 14:51:25,52.262325741600414,8.17964040712614,125,,,
2025-05-26 14:51:31,52.26224738857318,8.181509687948468,127,,,
2025-05-26 14:51:37,52.26215837013053,8.183290246946699,121,,,
2025-05-26 14:51:43,52.26204029880669,8.18494971989556,113,,,
2025-05-26 14:51:49,52.26193137054577,8.186416683580982,100,,,
2025-05-26 14:51:55,52.261844165581344,8.187784486732419,93,,,
2025-05-26 14:52:01,52.26174367126572,8.189164507552096,94,,,
2025-05-26 14:52:07,52.26165345569732,8.19065282958497,101,,,
2025-05-26 14:52:13,52.26151307115627,8.19205586863138,96,,,
2025-05-26 14:52:20,52.26130196885862,8.193685542385,113,,,
2025-05-26 14:52:26,52.261060594626535,8.195112689543583,100,,,
2025-05-26 14:52:32,52.2607452717589,8.196464164107784,98,,,
2025-05-26 14:52:38,52.260375653889845,8.197812809349411,100,316,368,266
2025-05-26 14:52:42,52.260103666033935,8.198654468479814,64,,,
2025-05-26 14:52:48,52.25970529974398,8.199950953964297,98,,,
2025-05-26 14:52:54,52.25930949041238,8.20122345233851,97,196,,586
2025-05-26 14:52:59,52.259008533429245,8.20223768599873,76,40.5,342,453
2025-05-26 14:53:03,52.258799790154846,8.202956521613045,54,388,295,141
2025-05-26 14:53:10,52.258521575656815,8.203864063988519,69,,,
2025-05-26 14:53:16,52.25843930958352,8.20413503839057,20,,577,
