timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9
2025-05-26 14:52:14,52.26142680953249,8.192615774241021,64,46.9,30.3,36.4
2025-05-26 14:52:18,52.26128630302872,8.19353024964461,64,81.5,33.3,45.6
2025-05-26 14:52:22,52.26112550152589,8.19447932535902,67,71.5,49.2,57.3
2025-05-26 14:52:26,52.26093762027603,8.19539073609038,65,159,49.8,33.7
2025-05-26 14:52:30,52.26071205211843,8.196268714717123,64,206,140,287
2025-05-26 14:52:34,52.260514776905225,8.197160325579915,64,48.8,29.5,31.1
2025-05-26 14:52:38,52.26029347217538,8.198059595967942,65,474,71.5,79.7
2025-05-26 14:52:42,52.26002777310805,8.198918320176212,65,216,35.7,51.4
2025-05-26 14:52:46,52.25975835765948,8.199776128355595,65,93.1,63.9,35.4
2025-05-26 14:52:50,52.25950147589524,8.200622666796722,64,203,35.5,51.2
2025-05-26 14:52:55,52.25918688433825,8.20165158700771,78,87.5,31.0,158
2025-05-26 14:52:59,52.2589481285144,8.202431049475488,59,49.5,38.4,41.2
2025-05-26 14:53:03,52.2587401543112,8.203122533565615,52,199,30.7,38.2
2025-05-26 14:53:07,52.25857340086149,8.203662859229638,41,164,53.5,160
2025-05-26 14:53:11,52.258472199431,8.204006056340246,25,168,49.3,62.0
2025-05-26 14:53:15,52.25842475357215,8.204134227754643,10,165,38.8,159
2025-05-26 14:54:17,52.25831059143586,8.20456139975013,31,63.6,25.3,36.9
2025-05-26 14:54:21,52.25817355096348,8.205023657585016,34,87.1,25.2,37.7
2025-05-26 14:54:25,52.25796545382682,8.205795952300084,57,199,178,43.5
2025-05-26 14:54:29,52.25770699697185,8.206749114048238,70,74.7,33.3,50.1
2025-05-26 14:54:33,52.25743269903039,8.207686527452058,70,58.2,25.6,32.3
2025-05-26 14:54:37,52.25716767062976,8.208581268390743,67,66.3,30.7,48.3
2025-05-26 14:54:41,52.256902432214375,8.20948747257943,68,65.4,29.8,32.8
2025-05-26 14:54:45,52.2566471642674,8.210401846759606,68,87.0,36.6,34.2
2025-05-26 14:54:49,52.25632594172674,8.211475384263338,81,40.4,28.2,33.2
2025-05-26 14:54:53,52.255974343370326,8.212733604342535,94,28.9,34.2,34.7
2025-05-26 14:54:57,52.25558185824941,8.214075828184857,101,25.3,30.4,31.2
2025-05-26 14:55:00,52.25526206705214,8.215157444066877,81,83.1,25.1,32.4
2025-05-26 14:55:03,52.254904801197036,8.216334272181529,89,75.5,27.3,25.5
2025-05-26 14:55:07,52.254423510663266,8.21791547707068,120,257,165,56.3
2025-05-26 14:55:11,52.25392699150042,8.21961722862184,128,507,212,157
2025-05-26 14:55:15,52.2533945299783,8.221354286704054,132,65.0,24.6,72.2
2025-05-26 14:55:19,52.25286244890369,8.223220239440073,140,229,167,166
2025-05-26 14:55:23,52.252279657948016,8.225151365767907,146,192,30.0,79.2
2025-05-26 14:55:27,52.25166959909661,8.227159056511066,152,532,38.4,133
2025-05-26 14:55:31,52.25104538338312,8.22916090662663,152,149,76.0,
2025-05-26 14:55:36,52.25029560951517,8.231676618826244,190,53.3,102,92.8
2025-05-26 14:55:40,52.2496850918937,8.233760072031803,157,90.3,33.2,45.1
2025-05-26 14:55:44,52.24908828060805,8.235806147920401,154,97.3,53.8,39.1
2025-05-26 14:55:48,52.24847855896091,8.237853255449853,154,51.4,50.9,37.6
2025-05-26 14:55:52,52.24786239224486,8.239941277237248,157,220,37.8,63.3
2025-05-26 14:55:56,52.24724703559664,8.241991183716651,155,45.2,159,47.3
2025-05-26 14:56:00,52.24665146000576,8.243980794320306,150,202,76.9,84.5
2025-05-26 14:56:04,52.24602441769012,8.24600567623424,154,42.9,179,87.6
2025-05-26 14:56:08,52.245400849367286,8.248080216923977,157,105,34.7,39.8
2025-05-26 14:56:11,52.2449366275378,8.24963621111588,117,98.6,41.6,48.6
2025-05-26 14:56:15,52.2443329492406,8.251697940813335,155,400,38.6,41.8
2025-05-26 14:56:19,52.243723937586644,8.253720134364016,153,50.1,184,48.1
2025-05-26 14:56:23,52.243106967577006,8.2557675061479,155,164,26.6,39.2
2025-05-26 14:56:27,52.2425043314099,8.257845457390724,156,46.0,48.2,58.0
