timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9,ping_google.com,ping_uni-osnabrueck.de,ping_utwente.nl
2025-06-09 11:11:38,51.975704109362596,7.640570924197308,68,52.6,64.0,57.3,56.8,,47.7
2025-06-09 11:11:43,51.976474609397,7.640209183498727,89,55.8,34.2,48.5,45.1,,42.2
2025-06-09 11:11:49,51.97721362826791,7.639882513053732,85,44.0,31.8,41.3,45.5,,43.1
2025-06-09 11:11:54,51.97794160160985,7.639654775487263,82,161,43.1,96.0,168,,45.8
2025-06-09 11:11:59,51.978704373145185,7.639494748433233,85,82.4,34.0,50.6,94.5,,140
2025-06-09 11:12:04,51.97945971422437,7.639343191356588,84,192,163,168,544,,178
2025-06-09 11:12:10,51.98033901738531,7.639146873454132,98,183,157,181,150,,134
2025-06-09 11:12:16,51.98121078712592,7.638911987951167,98,158,146,158,147,,125
2025-06-09 11:12:22,51.98206561204455,7.638674930120111,96,277,308,136,190,,189
2025-06-09 11:12:28,51.982883507374716,7.638564209602387,91,,143,77.1,64.5,,60.9
2025-06-09 11:12:34,51.983708227896976,7.638461264523302,91,254,328,167,161,,63.8
2025-06-09 11:12:40,51.98435254051453,7.6383574206635085,71,259,265,137,183,,178
2025-06-09 11:12:46,51.98482992906568,7.638254984015794,53,211,180,253,150,,149
2025-06-09 11:12:52,51.98500278412325,7.638230536751559,19,216,130,,139,,126
2025-06-09 11:14:19,51.985278565827116,7.6381785369159925,30,237,143,141,153,,130
2025-06-09 11:14:25,51.985785364160265,7.638085413769218,56,233,134,,163,,157
2025-06-09 11:14:32,51.98651775671509,7.637937154433226,82,189,,158,,,149
2025-06-09 11:14:39,51.9873978606374,7.637788707432663,98,198,129,118,142,,139
2025-06-09 11:14:45,51.988274708516144,7.637651839834818,97,229,127,140,144,,
2025-06-09 11:14:52,51.989374947871546,7.637375977056082,123,251,114,130,,,129
2025-06-09 11:14:59,51.99056815138842,7.6368036030660935,138,248,134,131,115,,139
2025-06-09 11:15:05,51.99162150272927,7.636024616783887,128,236,126,,180,,140
2025-06-09 11:15:12,51.99282851804842,7.634824140712522,157,187,126,130,152,,144
2025-06-09 11:15:18,51.99373073748194,7.633607750934662,130,218,139,124,144,,141
2025-06-09 11:15:23,51.99446786065015,7.632493604945912,111,151,130,135,159,,162
2025-06-09 11:15:29,51.995290742688134,7.631051778158063,134,81.4,74.8,98.0,71.0,,42.1
2025-06-09 11:15:34,51.99594775747507,7.6298089715059705,112,322,52.3,141,44.6,,245
2025-06-09 11:15:40,51.99683469458704,7.6282309502000025,146,221,231,177,401,,51.1
2025-06-09 11:15:46,51.997754462746926,7.626645647855747,149,,,636,64.8,,41.9
2025-06-09 11:15:54,51.998984413637686,7.624531727856103,199,,183,140,142,,127
2025-06-09 11:16:01,52.000080264144536,7.622656991079236,176,230,121,134,142,,137
2025-06-09 11:16:07,52.0009966312727,7.621073172222093,148,232,114,,,,177
2025-06-09 11:16:15,52.00223231729675,7.618939011180631,200,218,123,146,130,,145
2025-06-09 11:16:21,52.00318248630064,7.6173367812931545,152,216,127,81.9,,,169
2025-06-09 11:16:28,52.00426972167315,7.615500392617369,174,174,214,154,122,,125
2025-06-09 11:16:34,52.00519996503772,7.6138452895927164,153,198,324,103,180,,82.9
2025-06-09 11:16:40,52.00613644886035,7.612259086559404,150,84.5,130,60.2,47.8,,51.0
