Cell-ID,Cell-LAC/TAC,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Lat,Lon,Accuracy,Address
53048597,45145,262,2,52.30822,7.14382,891,
53048586,45145,262,2,52.30941,7.14861,828,
51380227,45145,262,2,52.30934,7.15874,1146,
51380245,45145,262,2,52.30955,7.15815,906,
12857347,45404,262,2,52.200328,7.136929,3114,
51380225,45145,262,2,52.305616,7.179876,865,
12857889,45142,262,2,52.31623,7.19163,2760,
12857859,45142,262,2,52.33252,7.20502,2119,
16201,533,262,2,52.30209,7.17659,4956,
12857859,45142,262,2,52.33252,7.20502,2119,
51380225,45145,262,2,52.305616,7.179876,865,
12857364,45404,262,2,52.19329,7.20099,875,
12857364,45404,262,2,52.19329,7.20099,875,
12857345,45404,262,2,52.19162,7.21492,3477,
12857877,45142,262,2,52.34069,7.19379,2785,
12857859,45142,262,2,52.33252,7.20502,2119,
12857889,45142,262,2,52.31623,7.19163,2760,
12857345,45404,262,2,52.19162,7.21492,3477,
12857346,45404,262,2,52.19339,7.189223,2324,
12857346,45404,262,2,52.19339,7.189223,2324,
12857345,45404,262,2,52.19162,7.21492,3477,
13358595,45403,262,2,52.1872,7.2409,1897,
12857876,45142,262,2,52.30061,7.23791,1977,
13634049,45404,262,2,52.147019,7.249922,18642,
13634051,45404,262,2,52.11221,7.170347,2050,
13634049,45404,262,2,52.147019,7.249922,18642,
13634051,45404,262,2,52.11221,7.170347,2050,
13358594,45403,262,2,52.1722,7.2673,1918,
13358594,45403,262,2,52.1722,7.2673,1918,
12857876,45142,262,2,52.30061,7.23791,1977,
12857858,45142,262,2,52.29625,7.21805,2064,
12857858,45142,262,2,52.29625,7.21805,2064,
13634049,45404,262,2,52.147019,7.249922,18642,
12857875,45142,262,2,52.310856,7.158681,7065,
12857875,45142,262,2,52.310856,7.158681,7065,
12857857,45142,262,2,52.33893,7.24753,5881,
12857887,45142,262,2,52.32369,7.25709,6235,
12857887,45142,262,2,52.32369,7.25709,6235,
13358594,45403,262,2,52.1722,7.2673,1918,
12857857,45142,262,2,52.33893,7.24753,5881,
13734420,45142,262,2,52.321689,7.258032,1665,
13734402,45142,262,2,52.32169,7.25759,1585,
13734402,45142,262,2,52.32169,7.25759,1585,
13995523,45142,262,2,52.32437,7.29117,5374,
13995523,45142,262,2,52.32437,7.29117,5374,
2292,530,262,2,52.197348,7.324924,17766,
32581,530,262,2,52.140438,7.233062,5764,
13234433,45142,262,2,52.27246,7.18546,1343,
52133633,45403,262,2,52.16107,7.32567,1465,
52133633,45403,262,2,52.16107,7.32567,1465,
52133633,45403,262,2,52.16107,7.32567,1465,
13751553,45142,262,2,52.41016,7.25506,1463,
12857864,45142,262,2,52.32836,7.25716,1635,
52615689,45403,262,2,52.1592,7.3384,902,
52615700,45403,262,2,52.16042,7.320014,868,
13995541,45142,262,2,52.33012,7.34012,3116,
52133651,45403,262,2,52.178476,7.349284,821,
52133651,45403,262,2,52.178476,7.349284,821,
52133634,45403,262,2,52.10723,7.38173,854,
52133634,45403,262,2,52.10723,7.38173,854,
52133651,45403,262,2,52.178476,7.349284,821,
52133651,45403,262,2,52.178476,7.349284,821,
52129539,45403,262,2,52.11992,7.37312,2868,
52133634,45403,262,2,52.10723,7.38173,854,
13624841,45403,262,2,52.13103,7.36793,1646,
52129539,45403,262,2,52.11992,7.37312,2868,
52129539,45403,262,2,52.11992,7.37312,2868,
