Cell-ID,LAC/TAC,MCC,MNC,Lat,Lon,Accuracy,Address
35656960,4030,262,1,52.05824,8.56524,556,
35656960,4030,262,1,52.05824,8.56524,556,
28254722,4030,262,1,52.05458,8.57518,1235,
28254722,4030,262,1,52.05458,8.57518,1235,
28492034,3030,262,1,52.077641,8.615301,834,
28254725,4030,262,1,52.107562,8.572369,3181,
35656960,4030,262,1,52.05824,8.56524,556,
28254722,4030,262,1,52.05458,8.57518,1235,
27692546,3030,262,1,52.06421,8.66191,828,
34538242,3030,262,1,52.06447,8.60507,551,
33707520,4030,262,1,52.067352,8.592876,2160,
33707520,4030,262,1,52.067352,8.592876,2160,
33707520,4030,262,1,52.067352,8.592876,2160,
34538242,3030,262,1,52.06447,8.60507,551,
28254723,4030,262,1,52.061187,8.633295,1909,
34538242,3030,262,1,52.06447,8.60507,551,
28492034,3030,262,1,52.077641,8.615301,834,
28492034,3030,262,1,52.077641,8.615301,834,
28249346,4030,262,1,52.086256,8.62187,5750,
28249346,4030,262,1,52.086256,8.62187,5750,
28249346,4030,262,1,52.086256,8.62187,5750,
30708481,3030,262,1,52.1875,8.6357,875,
30708481,3030,262,1,52.1875,8.6357,875,
30959873,4030,262,1,52.096446,8.633253,2071,
30959873,4030,262,1,52.096446,8.633253,2071,
27650315,3030,262,1,52.08333,8.68763,1555,
30959873,4030,262,1,52.096446,8.633253,2071,
30959872,4030,262,1,52.103489,8.642506,3323,
30959872,4030,262,1,52.103489,8.642506,3323,
30959872,4030,262,1,52.103489,8.642506,3323,
30708481,3030,262,1,52.1875,8.6357,875,
34621954,4030,262,1,52.103457,8.650694,2825,
34621954,4030,262,1,52.103457,8.650694,2825,
30962689,4030,262,1,52.108763,8.65069,3383,
27465730,4030,262,1,52.121641,8.665819,908,
30962689,4030,262,1,52.108763,8.65069,3383,
27465730,4030,262,1,52.121641,8.665819,908,
30962689,4030,262,1,52.108763,8.65069,3383,
27465730,4030,262,1,52.121641,8.665819,908,
33422849,4030,262,1,52.118501,8.657597,894,
33422849,4030,262,1,52.118501,8.657597,894,
27465746,4030,262,1,52.126566,8.668722,817,
27465746,4030,262,1,52.126566,8.668722,817,
34605058,4030,262,1,52.12998,8.677283,975,
34605058,4030,262,1,52.12998,8.677283,975,
34667521,4030,262,1,52.122376,8.690511,1415,
34667521,4030,262,1,52.122376,8.690511,1415,
34605058,4030,262,1,52.12998,8.677283,975,
34667521,4030,262,1,52.122376,8.690511,1415,
33424898,4030,262,1,52.125763,8.667108,3142,
33424898,4030,262,1,52.125763,8.667108,3142,
33424898,4030,262,1,52.125763,8.667108,3142,
32211201,3030,262,1,52.177951,8.669551,887,
32211201,3030,262,1,52.177951,8.669551,887,
32211201,3030,262,1,52.177951,8.669551,887,
32211202,3030,262,1,52.182389,8.673789,886,
32211202,3030,262,1,52.182389,8.673789,886,
40939777,3030,262,1,52.18787,8.64827,1259,
40939777,3030,262,1,52.18787,8.64827,1259,
32211970,3030,262,1,52.19007,8.66667,1425,
40939777,3030,262,1,52.18787,8.64827,1259,
32211970,3030,262,1,52.19007,8.66667,1425,
32211970,3030,262,1,52.19007,8.66667,1425,
33424896,4030,262,1,52.125745,8.670506,825,
33424896,4030,262,1,52.125745,8.670506,825,
33424896,4030,262,1,52.125745,8.670506,825,
34928642,4030,262,1,52.127592,8.668797,825,
30966529,4030,262,1,52.130031,8.669607,1771,
34928642,4030,262,1,52.127592,8.668797,825,
30966529,4030,262,1,52.130031,8.669607,1771,
30966528,4030,262,1,52.134156,8.669931,1530,
34928642,4030,262,1,52.127592,8.668797,825,
30966529,4030,262,1,52.130031,8.669607,1771,
30966528,4030,262,1,52.134156,8.669931,1530,
30966528,4030,262,1,52.134156,8.669931,1530,
34605056,4030,262,1,52.142228,8.66995,6213,
28524034,4030,262,1,52.127298,8.689953,905,
28524034,4030,262,1,52.127298,8.689953,905,
28524034,4030,262,1,52.127298,8.689953,905,
34605056,4030,262,1,52.142228,8.66995,6213,
34605056,4030,262,1,52.142228,8.66995,6213,
36859393,4030,262,1,52.15091,8.669005,820,
36859393,4030,262,1,52.15091,8.669005,820,
36859393,4030,262,1,52.15091,8.669005,820,
36859392,4030,262,1,52.15609,8.668833,847,
36859392,4030,262,1,52.15609,8.668833,847,
36859392,4030,262,1,52.15609,8.668833,847,
31144705,4030,262,1,52.156839,8.669247,7725,
31144705,4030,262,1,52.156839,8.669247,7725,
31144705,4030,262,1,52.156839,8.669247,7725,
31144704,4030,262,1,52.167121,8.668363,4185,
31144704,4030,262,1,52.167121,8.668363,4185,
31144704,4030,262,1,52.167121,8.668363,4185,
